SP500,FTSE,,
-0.189906099,-1.44047244,,
-0.395436674,-0.385554022,,
-0.274822949,1.043064904,,
1.553418761,0.021452741,,
1.389950743,0.655013566,,
-0.455840235,-0.506920241,,
0.934272035,0.353755617,,
-0.11630777,1.057659484,,
-1.327696601,-0.504273915,,
-1.88124985,-1.751869621,,
1.512483545,-1.352253569,,
-1.629080388,0.974516002,,
0.99037649,-0.444484686,,
1.742721817,0.983113863,,
-0.197079384,0.74807228,,
0.074616263,0.763762024,,
-0.120835199,-1.505952931,,
2.415427862,1.324264727,,
1.782136821,1.402385869,,
-0.782223472,-0.535578939,,
1.409387239,0.602325068,,
-0.565803615,0.695317973,,
0.503094405,0.068131496,,
0.319913608,-0.508318148,,
-0.108215969,-0.121772567,,
-1.086939489,0.370564346,,
-0.063300345,-0.201264617,,
1.157006765,0.593136161,,
-0.254073784,0.135943982,,
0.416342882,0.305199935,,
-1.689614906,-0.929799763,,
0.046367454,-0.258550362,,
-0.404291193,-0.05331404,,
-1.46213621,-0.897261642,,
0.610374746,-0.155782743,,
0.402547695,0.368869412,,
0.065780365,1.089029978,,
-1.111944288,-0.387715249,,
-0.958240666,-0.068576656,,
0.121827426,-0.732505929,,
-0.477564273,0.461549593,,
-0.012411678,-1.056462833,,
-0.912028267,0.019308374,,
1.159969597,0.951134593,,
-2.850903064,-1.769206423,,
0.775928476,0.458324425,,
-1.093105504,0.779746095,,
2.447349854,1.118419504,,
-0.27831814,0.076018172,,
-0.066125158,-0.657564814,,
0.076844037,0.27117366,,
-1.757071054,-0.42235684,,
-0.773839458,-0.585836009,,
-0.724494278,0.5226158,,
-0.216156382,-0.397477409,,
-1.550736535,-0.743497849,,
-1.044183919,-0.098905263,,
1.049818939,0.226755269,,
1.144811883,-0.779318109,,
-0.185863295,0.943732974,,
-1.312691477,0.558919082,,
-2.345779511,-1.611969419,,
4.231676657,1.727218851,,
-1.665601635,-0.221011554,,
-1.602036292,-0.509221068,,
1.990604991,0.647650683,,
2.19398068,0.66447972,,
-0.65832054,0.373383552,,
1.075338374,-0.201758795,,
0.984406504,-0.582813478,,
-1.46009257,-0.189908076,,
-1.292055333,-0.209508692,,
0.67395182,-0.875444035,,
1.037191833,0.453172981,,
-1.406932696,-0.119871636,,
-1.042607002,-1.852971509,,
-0.804243502,0.173276143,,
-0.219091237,-0.833683882,,
0.060486922,0.874989534,,
-1.586594178,-1.905916222,,
-2.197250719,-0.633378011,,
-0.438601508,-0.753192465,,
0.336498571,0.158398181,,
-1.649983457,0.133833539,,
1.254333121,-1.698298622,,
-0.963165654,-1.658461056,,
-0.079687629,-3.001490909,,
2.833362414,2.684553391,,
0.106495252,-1.158722314,,
-1.774795944,-1.060473464,,
-1.512443732,-1.561871732,,
-2.142708108,0.5443316,,
0.736929011,-1.386238746,,
-1.970446564,1.942740079,,
-0.175985304,-2.183016181,,
1.855973125,0.211649623,,
-0.303546014,2.518345548,,
