date,ibm
19740228,-0.024852
19740329,-0.008933
19740430,-0.036055
19740531,-0.059274
19740628,0.001176
19740731,-0.052291
19740830,-0.040298
19740930,-0.171875
19741031,0.189465
19741129,-0.054858
19741231,-0.052186
19750131,0.120536
19750228,0.152722
19750331,-0.041183
19750430,0.015729
19750530,0.031566
19750630,-0.027907
19750731,-0.089713
19750829,-0.011827
19750930,0.010738
19751031,0.12749
19751128,0.074794
19751231,-0.009387
19760130,0.149387
19760227,-0.001455
19760331,0.024939
19760430,-0.03292
19760528,0.019734
19760630,0.078422
19760730,-0.016712
19760831,0.01378
19760930,0.028323
19761029,-0.034207
19761130,0.00552
19761231,0.029982
19770131,-0.013883
19770228,0.011807
19770331,0.001812
19770429,-0.064195
19770531,-0.041546
19770630,0.075356
19770729,0.015625
19770831,0.010256
19770930,-0.02748
19771031,-0.014368
19771130,0.035957
19771230,0.035985
19780131,-0.02925
19780228,-0.042825
19780331,-0.062687
19780428,0.129512
19780531,-0.018308
19780630,-0.003872
19780731,0.092323
19780831,0.04895
19780929,-0.050964
19781031,-0.046029
19781130,0.030766
19781229,0.107607
19790131,0.034338
19790228,-0.017198
19790330,0.051667
19790430,-0.003962
19790531,-0.021671
19790629,-0.034539
19790731,-0.049404000000000003
19790831,0.015914
19790928,-0.032143
19791031,-0.079336
19791130,0.05988
19791231,-0.01341
19800131,0.066019
19800229,-0.062149
19800331,-0.122047
19800430,-0.015695
19800530,0.024784
19800630,0.060948
19800731,0.110638
19800829,0.017011
19800930,-0.020992
19801031,0.038986
19801128,0.035422
19801231,-0.00367
19810130,-0.051565
19810227,0.011417
19810331,-0.029183
19810430,-0.06012
19810529,0.016802
19810630,-0.014894
19810731,-0.030238
19810831,-0.002494
19810930,-0.018141
19811030,-0.048499
19811130,0.074951
19811231,0.043578
19820129,0.118681
19820226,-0.013988
19820331,-0.034343
19820430,0.075314
19820528,-0.029416
19820630,-0.014228
19820730,0.082474
19820831,0.08739
19820930,0.04078
19821029,0.088586
19821130,0.093709
19821231,0.112717
19830131,0.027273
19830228,0.009962
19830331,0.027778
19830429,0.149877
19830531,-0.041026
19830630,0.080899
19830729,0.00104
19830831,6.23e-4
19830930,0.061715
19831031,-9.85e-4
19831130,-0.066469
19831230,0.039404
19840131,-0.064549
19840229,-0.02563
19840330,0.034014
19840430,-0.002193
19840531,-0.044396
19840629,-0.018561
19840731,0.047281
19840831,0.127314
19840928,0.00404
19841031,0.011871
19841130,-0.023069
19841231,0.011294
19850131,0.107614
19850228,-0.009349
19850329,-0.052239
19850430,-0.003937
19850531,0.025494
19850628,-0.037901
19850731,0.061616
19850830,-0.027783
19850930,-0.021718
19851031,0.048436
19851129,0.084504
19851231,0.112701
19860131,-0.025723
19860228,0.003135
19860331,0.004143
19860430,0.031353
19860530,-0.01776
19860630,-0.038556
19860731,-0.095563
19860829,0.055472
19860930,-0.030631
19861031,-0.080855
19861128,0.037209
19861231,-0.056047
19870130,0.072917
19870227,0.092039
19870331,0.076165
19870430,0.066611
19870529,0.006089
19870630,0.015625
19870731,-0.009231
19870831,0.05264
19870930,-0.104677
19871030,-0.187396
19871130,-0.086939
19871231,0.042889
19880129,-0.027056
19880229,0.055395
19880331,-0.084043
19880429,0.053426
19880531,0.001985
19880630,0.132222
19880729,-0.012758
19880831,-0.104573
19880930,0.034753
19881031,0.062839
19881130,-0.024669
19881230,0.028481
19890131,0.071795
19890228,-0.061435
19890331,-0.101852
19890428,0.044674
19890531,-0.027763
19890630,0.020525
19890731,0.027933
19890831,0.029
19890929,-0.067236
19891031,-0.08238
19891130,-0.014115
19891229,-0.035851
19900131,0.047809
19900228,0.065501
19900330,0.021661
19900430,0.027091
19900531,0.112018
19900629,-0.020833
19900731,-0.051064
19900831,-0.075471
19900928,0.044172
19901031,-0.009401
19901130,0.089775
19901231,-0.005501
19910131,0.121681
19910228,0.025325
19910328,-0.115534
19910430,-0.095499
19910531,0.042087
19910628,-0.084806
19910731,0.042471
19910830,-0.031259
19910930,0.069677
19911031,-0.05187
19911129,-0.046209
19911231,-0.037838
19920131,0.011236
19920228,-0.021278
19920331,-0.038849
19920430,0.086826
19920529,0.013333
19920630,0.078512
19920731,-0.031928
19920831,-0.072982
19920930,-0.067821
19921030,-0.171827
19921130,0.038654
19921231,-0.261905
19930129,0.022333
19930226,0.066311
19930331,-0.064368
19930430,-0.044226
19930528,0.095938
19930630,-0.063981
19930730,-0.098734
19930831,0.033708
19930930,-0.081967
19931029,0.095238
19931130,0.17663
19931231,0.048724
19940131,0
19940228,-0.059735
19940331,0.033097
19940429,0.052632
19940531,0.1
19940630,-0.06746
19940729,0.053191
19940831,0.111111
19940930,0.016423
19941031,0.070018
19941130,-0.04698
19941230,0.038869
19950131,-0.018707
19950228,0.046794
19950331,0.091362
19950428,0.152207
19950531,-0.014531
19950630,0.032258
19950731,0.134115
19950831,-0.04822
19950929,-0.085852
19951031,0.029101
19951130,-0.003856
19951229,-0.054334
19960131,0.187414
19960229,0.132488
19960329,-0.092762
19960430,-0.031461
19960531,-0.006032
19960628,-0.0726
19960731,0.085859
19960830,0.067209
19960930,0.088525
19961031,0.036145
19961129,0.238178
19961231,-0.049412
19970131,0.035479
19970228,-0.081434
19970331,-0.045217
19970430,0.169399
19970530,0.080374
19970630,0.043353
19970731,0.171745
19970829,-0.03948
19970930,0.045623
19971031,-0.070755
19971128,0.113706
19971231,-0.044521
19980130,-0.056153
19980227,0.05962
19980331,-0.005386
19980430,0.115523
19980529,0.015922
19980630,-0.022872
19980731,0.154056
19980831,-0.14834
19980930,0.140954
19981030,0.155642
19981130,0.113434
19981231,0.116578
19990129,-0.006102
19990226,-0.072469
19990331,0.044183
19990430,0.180183
19990528,0.1102
19990630,0.114224
19990730,-0.027563
19990831,-0.007996
19990930,-0.0286
19991029,-0.188017
19991130,0.050204
19991231,0.046695
20000131,0.040556
20000229,-0.083563
20000331,0.148418
20000428,-0.055085
20000531,-0.03583
20000630,0.020373
20000731,0.026241
20000831,0.175142
20000929,-0.147727
20001031,-0.124444
20001130,-0.049442
20001229,-0.090909
20010131,0.317647
20010228,-0.106875
20010330,-0.037237
20010430,0.19713
20010531,-0.027792
20010629,0.010733
20010731,-0.068938
20010831,-0.048665
20010928,-0.082341
20011031,0.17826
20011130,0.07088
20011231,0.046457
20020131,-0.108052
20020228,-0.089258
20020328,0.059927
20020430,-0.194615
20020531,-0.037727
20020628,-0.105034
20020731,-0.022222
20020830,0.072869
20020930,-0.226453
20021031,0.353799
20021129,0.10299
20021231,-0.108375
20030131,0.009032
20030228,-0.001279
20030331,0.006158
20030430,0.082494
20030530,0.038869
20030630,-0.062926
20030731,-0.015152
20030829,0.011323
20030930,0.077064
20031031,0.013019
20031128,0.013634
20031231,0.023636
20040130,0.070673
20040227,-0.025899
20040331,-0.04829
20040430,-0.039961000000000003
20040528,0.006805
20040630,-0.004967
20040730,-0.012252
20040831,-0.025267
20040930,0.012398
20041029,0.046769
20041130,0.052033
20041231,0.046053
20050131,-0.052343
20050228,-0.007065
20050331,-0.012962
20050429,-0.16415
20050531,-0.008248
20050630,-0.017869
20050729,0.124798
20050831,-0.031632
20050930,-0.004962
20051031,0.020693
20051130,0.088178
20051230,-0.075366
20060131,-0.010949
20060228,-0.010578
20060331,0.027792
20060428,-0.001576
20060531,-0.02599
20060630,-0.038548
20060731,0.00768
20060831,0.049864
20060929,0.01198
20061031,0.1268
20061130,-0.001191
20061229,0.056897
20070131,0.020587
20070228,-0.059607
20070330,0.014203
20070430,0.084341
20070531,0.046864
20070629,-0.012664
20070731,0.051306
20070831,0.058202
20070928,0.009512
20071031,-0.014261
20071130,-0.090768
20071231,0.027762
20080131,-0.009158
20080229,0.066754
20080331,0.011242
20080430,0.048289
20080530,0.076471
20080630,-0.084215
20080731,0.079727
20080829,-0.044929
20080930,-0.039185
20081031,-0.205113
20081128,-0.116919
20081231,0.031373
20090130,0.088997
20090227,0.009602
20090331,0.052809
20090430,0.065229
20090529,0.035074
20090630,-0.017501
20090731,0.129381
20090831,0.005681
20090930,0.013215
20091030,0.008361
20091130,0.052152
20091231,0.036011
